Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec
2022-08-20,Matchweek 3,Away,D 1–1,Nott'ham Forest,Everton,N,7,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,1,0,5,7,71.4,0,0,1,2,3,3,0,8,,0,0,5
2022-08-28,Matchweek 4,Home,L 0–2,Nott'ham Forest,Tottenham,N,16,0,0,0,0,0,0,1,0,16,1,0,0,0.0,0.0,0.0,0,0,13,14,92.9,0,0,1,6,8,2,1,16,0.0,0,0,10
2022-08-31,Matchweek 5,Away,L 0–6,Nott'ham Forest,Manchester City,Y,78,0,0,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.0,0,0,19,23,82.6,0,0,4,20,8,0,0,28,,1,0,19
2022-09-03,Matchweek 6,Home,L 2–3,Nott'ham Forest,Bournemouth,Y,75,1,0,0,0,1,1,0,0,48,1,1,4,0.2,0.2,0.0,0,0,36,39,92.3,3,1,2,6,32,11,1,48,100.0,2,0,28
2022-09-16,Matchweek 8,Home,L 2–3,Nott'ham Forest,Fulham,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
2022-10-03,Matchweek 9,Away,L 0–4,Nott'ham Forest,Leicester City,Y,45,0,0,0,0,0,0,1,0,20,2,1,1,0.0,0.0,0.0,1,0,10,15,66.7,1,0,0,6,11,3,0,20,,1,0,9
2022-10-10,Matchweek 10,Home,D 1–1,Nott'ham Forest,Aston Villa,Y,90,0,0,0,0,2,2,0,0,32,3,1,1,0.1,0.1,0.0,0,0,15,19,78.9,2,0,2,11,15,7,1,32,,2,1,16
2022-10-15,Matchweek 11,Away,L 0–1,Nott'ham Forest,Wolves,Y,69,0,0,0,0,1,1,0,0,24,3,0,1,0.0,0.0,0.0,0,0,8,14,57.1,0,0,2,8,14,2,0,24,,1,1,14
2022-10-18,Matchweek 12,Away,D 0–0,Nott'ham Forest,Brighton,N,30,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.1,1,0,5,7,71.4,1,0,1,4,3,4,0,11,,0,0,5
2022-10-22,Matchweek 13,Home,W 1–0,Nott'ham Forest,Liverpool,Y,79,0,0,0,0,1,1,0,0,38,3,0,4,0.1,0.1,0.3,3,0,18,26,69.2,1,1,3,15,14,10,4,38,50.0,2,0,15
2022-10-30,Matchweek 14,Away,L 0–5,Nott'ham Forest,Arsenal,Y,80,0,0,0,0,0,0,0,0,25,2,2,0,0.0,0.0,0.0,0,0,9,14,64.3,0,0,7,13,8,4,2,25,0.0,1,0,9
2022-11-05,Matchweek 15,Home,D 2–2,Nott'ham Forest,Brentford,Y,65,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.2,1,0,15,18,83.3,1,3,2,5,15,3,1,22,100.0,0,0,13
2022-11-12,Matchweek 16,Home,W 1–0,Nott'ham Forest,Crystal Palace,Y,70,0,0,0,0,0,0,0,0,18,4,0,1,0.0,0.0,0.0,0,0,6,10,60.0,0,0,2,11,6,1,0,18,,2,2,6
