Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-06,Matchweek 1,Home,W 2–0,Newcastle Utd,Nott'ham Forest,N,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,3.0,5.0,60.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,6.0,,0.0,,20.0,13.0,0.0,0.0,0.0,0.0,5.0,1.0,0.1,1.0,0.0,0.0
2022-08-13,Matchweek 2,Away,D 0–0,Newcastle Utd,Brighton,N,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,,0.0,,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
2022-08-21,Matchweek 3,Home,D 3–3,Newcastle Utd,Manchester City,N,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,6.0,,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0
2022-08-28,Matchweek 4,Away,D 1–1,Newcastle Utd,Wolves,Y,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,68.0,1.0,0.0,3.0,0.2,0.2,0.0,4.0,0.0,43.0,55.0,78.2,8.0,25.0,0.0,0.0,1.0,12.0,42.0,15.0,1.0,68.0,0.0,2.0,100.0,104.0,44.0,0.0,0.0,2.0,0.0,40.0,2.0,0.0,0.0,1.0,0.0
2022-08-31,Matchweek 5,Away,L 1–2,Newcastle Utd,Liverpool,Y,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1.0,2.0,2.0,0.0,0.0,0.5,1.0,1.0,19.0,29.0,65.5,4.0,15.0,0.0,0.0,7.0,15.0,15.0,6.0,0.0,36.0,,0.0,,51.0,14.0,0.0,0.0,0.0,0.0,15.0,0.0,0.3,1.0,1.0,0.0
2022-09-03,Matchweek 6,Home,D 0–0,Newcastle Utd,Crystal Palace,Y,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,47.0,1.0,1.0,2.0,0.2,0.2,0.1,6.0,0.0,32.0,36.0,88.9,7.0,31.0,0.0,0.0,2.0,8.0,27.0,12.0,5.0,47.0,,0.0,,93.0,29.0,0.0,0.0,2.0,2.0,35.0,2.0,0.1,2.0,1.0,0.0
2022-09-17,Matchweek 8,Home,D 1–1,Newcastle Utd,Bournemouth,N,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,26.0,29.0,89.7,2.0,19.0,0.0,0.0,0.0,4.0,17.0,11.0,0.0,32.0,,0.0,,96.0,29.0,1.0,0.0,1.0,1.0,26.0,1.0,0.0,1.0,0.0,0.0
2022-10-01,Matchweek 9,Away,W 4–1,Newcastle Utd,Fulham,Y,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,61.0,3.0,0.0,0.0,0.2,0.2,0.1,4.0,0.0,44.0,50.0,88.0,5.0,35.0,0.0,0.0,1.0,15.0,31.0,15.0,3.0,61.0,0.0,2.0,100.0,97.0,35.0,0.0,0.0,1.0,2.0,41.0,2.0,0.1,2.0,0.0,0.0
2022-10-08,Matchweek 10,Home,W 5–1,Newcastle Utd,Brentford,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,44.0,86.4,8.0,27.0,0.0,1.0,0.0,11.0,20.0,17.0,4.0,47.0,100.0,0.0,0.0,131.0,70.0,1.0,0.0,0.0,2.0,35.0,4.0,0.0,0.0,0.0,0.0
2022-10-16,Matchweek 11,Away,D 0–0,Newcastle Utd,Manchester Utd,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,34.0,70.6,3.0,20.0,1.0,0.0,3.0,12.0,26.0,10.0,1.0,47.0,,0.0,,86.0,41.0,0.0,0.0,3.0,1.0,26.0,3.0,0.0,0.0,1.0,0.0
2022-10-19,Matchweek 12,Home,W 1–0,Newcastle Utd,Everton,Y,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,0.0,3.0,0.0,0.0,0.2,2.0,0.0,22.0,30.0,73.3,5.0,20.0,1.0,0.0,1.0,7.0,20.0,14.0,2.0,40.0,0.0,1.0,100.0,72.0,41.0,0.0,0.0,0.0,1.0,22.0,3.0,0.0,2.0,0.0,0.0
2022-10-23,Matchweek 13,Away,W 2–1,Newcastle Utd,Tottenham,Y,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,1.0,1.0,0.0,0.0,0.5,2.0,0.0,35.0,41.0,85.4,5.0,37.0,1.0,1.0,2.0,7.0,31.0,14.0,3.0,52.0,33.3,2.0,66.7,129.0,46.0,2.0,0.0,1.0,3.0,38.0,5.0,0.1,2.0,2.0,1.0
2022-10-29,Matchweek 14,Home,W 4–0,Newcastle Utd,Aston Villa,Y,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,65.0,3.0,0.0,1.0,0.1,0.1,0.2,3.0,0.0,41.0,56.0,73.2,3.0,43.0,0.0,0.0,1.0,7.0,37.0,21.0,5.0,65.0,,0.0,,133.0,70.0,1.0,0.0,0.0,0.0,47.0,12.0,0.2,1.0,1.0,1.0
