Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA
2022-08-06,Matchweek 1,Away,L 0–2,Nott'ham Forest,Newcastle Utd,N,16,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,7,8,87.5,1,0,0,2,7,0,0,9,,0,0,6,127,39,0.0,0,0,0,0
2022-08-14,Matchweek 2,Home,W 1–0,Nott'ham Forest,West Ham,Y,83,0,0,0,0,1,0,0,0,32,1,1,3,0.0,0.0,0.0,1,0,20,26,76.9,4,0,0,5,19,8,1,32,,0,1,20,337,93,0.0,0,3,0,0
2022-08-20,Matchweek 3,Away,D 1–1,Nott'ham Forest,Everton,Y,54,0,0,0,0,1,1,0,0,45,2,0,0,0.1,0.1,0.0,2,0,35,41,85.4,4,1,2,9,29,9,0,45,33.3,0,1,30,584,131,0.0,1,2,1,0
2022-10-03,Matchweek 9,Away,L 0–4,Nott'ham Forest,Leicester City,N,22,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,9,12,75.0,0,0,0,2,10,3,0,15,0.0,0,0,13,104,1,0.0,0,0,0,0
2022-10-10,Matchweek 10,Home,D 1–1,Nott'ham Forest,Aston Villa,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-15,Matchweek 11,Away,L 0–1,Nott'ham Forest,Wolves,N,21,0,0,0,0,2,0,0,0,13,0,0,1,0.1,0.1,0.0,0,0,9,11,81.8,0,0,0,3,8,3,0,13,,0,0,8,89,25,0.0,0,0,0,0
2022-10-18,Matchweek 12,Away,D 0–0,Nott'ham Forest,Brighton,Y,60,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,12,16,75.0,1,0,1,11,8,3,0,22,0.0,1,0,13,141,48,0.0,0,0,0,0
2022-10-22,Matchweek 13,Home,W 1–0,Nott'ham Forest,Liverpool,N,11,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,1,1,0,2,,0,0,0,4,1,0.0,0,0,0,0
2022-10-30,Matchweek 14,Away,L 0–5,Nott'ham Forest,Arsenal,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-05,Matchweek 15,Home,D 2–2,Nott'ham Forest,Brentford,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-27,Matchweek 17,Away,L 0–3,Nott'ham Forest,Manchester Utd,Y,62,0,0,0,0,1,0,1,0,27,1,1,0,0.1,0.1,0.0,1,0,21,22,95.5,3,0,1,3,20,4,1,27,0.0,0,0,18,364,98,0.0,0,4,1,0
2023-01-01,Matchweek 18,Home,D 1–1,Nott'ham Forest,Chelsea,Y,77,0,0,0,0,0,0,0,0,24,0,1,0,0.0,0.0,0.0,0,0,15,20,75.0,1,0,1,5,15,4,0,24,,0,2,16,169,47,0.0,0,2,0,0
2023-01-04,Matchweek 19,Away,W 1–0,Nott'ham Forest,Southampton,Y,59,0,0,0,0,1,0,0,0,28,2,1,0,0.0,0.0,0.0,2,0,15,21,71.4,2,1,1,6,15,7,3,28,33.3,0,1,15,272,141,0.0,0,2,0,0
2023-01-14,Matchweek 20,Home,W 2–0,Nott'ham Forest,Leicester City,Y,69,0,0,0,0,0,0,0,0,39,2,1,1,0.0,0.0,0.0,1,0,28,33,84.8,0,1,2,8,23,8,0,39,100.0,0,1,28,352,74,0.0,0,2,0,0
2023-01-21,Matchweek 21,Away,D 1–1,Nott'ham Forest,Bournemouth,Y,59,0,0,0,0,0,0,0,0,37,0,0,1,0.0,0.0,0.0,2,0,24,30,80.0,2,0,0,1,30,6,0,37,0.0,0,0,24,379,69,0.0,1,3,0,0
