Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA
2022-08-06,Matchweek 1,Home,D 2–2,Fulham,Liverpool,Y,65.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,11.0,15.0,73.3,0.0,1.0,0.0,2.0,6.0,15.0,4.0,23.0,50.0,1.0,1.0,16.0,123.0,19.0,0.0,1.0,0.0,0.0,0.0
2022-08-13,Matchweek 2,Away,D 0–0,Fulham,Wolves,Y,82.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,35.0,2.0,0.0,3.0,0.1,0.1,0.0,1.0,0.0,13.0,22.0,59.1,1.0,2.0,1.0,7.0,15.0,17.0,2.0,35.0,66.7,2.0,1.0,20.0,146.0,39.0,0.0,0.0,0.0,1.0,0.0
2022-08-27,Matchweek 4,Away,L 1–2,Fulham,Arsenal,Y,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,2.0,0.0,0.0,0.2,2.0,0.0,7.0,11.0,63.6,0.0,0.0,1.0,7.0,7.0,6.0,2.0,20.0,0.0,2.0,0.0,13.0,117.0,36.0,0.1,2.0,0.0,1.0,1.0
2022-08-30,Matchweek 5,Home,W 2–1,Fulham,Brighton,Y,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,2.0,0.0,2.0,0.0,0.0,0.4,2.0,1.0,20.0,25.0,80.0,3.0,2.0,1.0,7.0,7.0,21.0,4.0,35.0,33.3,0.0,2.0,23.0,261.0,78.0,0.0,2.0,0.0,2.0,0.0
2022-09-03,Matchweek 6,Away,L 1–2,Fulham,Tottenham,Y,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,13.0,17.0,76.5,0.0,0.0,1.0,2.0,2.0,18.0,1.0,22.0,0.0,1.0,1.0,16.0,159.0,34.0,0.0,1.0,0.0,0.0,0.0
2022-09-16,Matchweek 8,Away,W 3–2,Fulham,Nott'ham Forest,N,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,8.0,,0.0,0.0,4.0,40.0,9.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,Matchweek 9,Home,L 1–4,Fulham,Newcastle Utd,N,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,2.0,0.0,0.0,0.3,1.0,1.0,7.0,12.0,58.3,1.0,0.0,1.0,5.0,2.0,10.0,1.0,17.0,0.0,0.0,0.0,10.0,101.0,58.0,0.4,1.0,0.0,1.0,0.0
2022-10-09,Matchweek 10,Away,L 1–3,Fulham,West Ham,Y,88.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,2.0,0.0,1.0,0.0,0.0,0.3,4.0,1.0,19.0,24.0,79.2,2.0,0.0,1.0,5.0,12.0,20.0,1.0,36.0,0.0,1.0,2.0,24.0,269.0,83.0,0.2,2.0,1.0,2.0,1.0
2022-10-15,Matchweek 11,Home,D 2–2,Fulham,Bournemouth,Y,61.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,16.0,19.0,84.2,2.0,0.0,1.0,1.0,7.0,15.0,3.0,23.0,,0.0,0.0,19.0,312.0,53.0,0.0,1.0,1.0,2.0,1.0
2022-10-20,Matchweek 12,Home,W 3–0,Fulham,Aston Villa,Y,84.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,32.0,1.0,0.0,0.0,0.1,0.1,0.0,3.0,1.0,14.0,19.0,73.7,1.0,0.0,1.0,5.0,11.0,16.0,4.0,32.0,0.0,5.0,0.0,24.0,172.0,33.0,0.0,0.0,0.0,0.0,0.0
2022-10-23,Matchweek 13,Away,W 3–2,Fulham,Leeds United,N,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,100.0,0.0,2.0,1.0,1.0,2.0,8.0,1.0,11.0,40.0,1.0,2.0,8.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0
2022-10-29,Matchweek 14,Home,D 0–0,Fulham,Everton,Y,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,11.0,16.0,68.8,0.0,2.0,1.0,2.0,7.0,14.0,4.0,21.0,66.7,2.0,1.0,16.0,126.0,21.0,0.1,1.0,0.0,0.0,0.0
