Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-09-03,Matchweek 6,Away,L 1–2,Fulham,Tottenham,N,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,12.0,83.3,1.0,10.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,14.0,0.0,1.0,100.0,51.0,21.0,0.0,0.0,0.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0
2022-09-16,Matchweek 8,Away,W 3–2,Fulham,Nott'ham Forest,Y,69.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1.0,1.0,1.0,0.0,0.0,0.1,7.0,3.0,29.0,36.0,80.6,4.0,30.0,3.0,1.0,1.0,3.0,19.0,24.0,1.0,46.0,25.0,2.0,50.0,185.0,84.0,3.0,1.0,2.0,0.0,32.0,5.0,0.1,3.0,2.0,0.0
2022-10-15,Matchweek 11,Home,D 2–2,Fulham,Bournemouth,N,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,22.0,27.0,81.5,5.0,22.0,2.0,1.0,0.0,1.0,6.0,21.0,2.0,28.0,100.0,0.0,0.0,119.0,65.0,1.0,0.0,0.0,0.0,24.0,6.0,0.1,1.0,1.0,0.0
2022-10-20,Matchweek 12,Home,W 3–0,Fulham,Aston Villa,Y,72.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,44.0,1.0,0.0,3.0,0.4,0.4,0.3,8.0,0.0,28.0,33.0,84.8,6.0,29.0,7.0,0.0,0.0,5.0,10.0,32.0,4.0,44.0,0.0,1.0,50.0,285.0,186.0,6.0,0.0,1.0,0.0,28.0,10.0,0.1,4.0,3.0,0.0
2022-10-23,Matchweek 13,Away,W 3–2,Fulham,Leeds United,Y,88.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,40.0,1.0,1.0,0.0,0.5,0.5,0.5,4.0,2.0,25.0,31.0,80.6,5.0,28.0,2.0,5.0,0.0,7.0,21.0,13.0,1.0,40.0,100.0,0.0,0.0,183.0,103.0,2.0,0.0,3.0,2.0,26.0,7.0,0.2,1.0,1.0,0.0
2022-10-29,Matchweek 14,Home,D 0–0,Fulham,Everton,Y,90.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,61.0,0.0,0.0,0.0,0.8,0.8,0.1,8.0,0.0,43.0,50.0,86.0,9.0,34.0,15.0,1.0,0.0,2.0,19.0,41.0,8.0,61.0,50.0,0.0,0.0,334.0,252.0,7.0,4.0,5.0,1.0,45.0,2.0,0.1,4.0,2.0,0.0
2022-11-05,Matchweek 15,Away,L 1–2,Fulham,Manchester City,Y,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20.0,24.0,83.3,2.0,22.0,0.0,0.0,0.0,9.0,16.0,8.0,1.0,33.0,0.0,1.0,100.0,90.0,31.0,0.0,0.0,2.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0
2022-11-13,Matchweek 16,Home,L 1–2,Fulham,Manchester Utd,Y,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,49.0,0.0,1.0,0.0,0.1,0.1,0.2,6.0,1.0,30.0,40.0,75.0,6.0,38.0,6.0,1.0,0.0,4.0,18.0,27.0,6.0,49.0,100.0,0.0,0.0,257.0,117.0,4.0,3.0,5.0,0.0,42.0,11.0,0.0,2.0,1.0,0.0
2022-12-26,Matchweek 17,Away,W 3–0,Fulham,Crystal Palace,Y,80.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.2,0.2,0.0,3.0,1.0,29.0,35.0,82.9,3.0,29.0,2.0,0.0,0.0,3.0,13.0,27.0,3.0,42.0,,0.0,,215.0,92.0,5.0,0.0,0.0,2.0,30.0,6.0,0.1,0.0,1.0,1.0
2022-12-31,Matchweek 18,Home,W 2–1,Fulham,Southampton,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,1.0,2.0,2.0,0.1,0.1,0.1,5.0,0.0,33.0,44.0,75.0,6.0,27.0,2.0,0.0,2.0,9.0,18.0,28.0,2.0,55.0,0.0,1.0,100.0,215.0,75.0,1.0,0.0,1.0,1.0,36.0,4.0,0.1,2.0,3.0,0.0
