Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec,TotDist,PrgDist,xA,KP,1/3,PPA,CrsPA
2022-08-06,Matchweek 1,Home,W 2–0,Bournemouth,Aston Villa,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-13,Matchweek 2,Away,L 0–4,Bournemouth,Manchester City,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20,Matchweek 3,Home,L 0–3,Bournemouth,Arsenal,N,45,0,0,0,0,0,0,0,0,27,2,0,1,0.0,0.0,0.0,2,0,19,23,82.6,0,0,0,3,15,9,0,27,0.0,1,0,22,335,59,0.0,0,3,0,0
2022-08-27,Matchweek 4,Away,L 0–9,Bournemouth,Liverpool,Y,90,0,0,0,0,1,1,0,0,23,1,0,0,0.0,0.0,0.0,0,0,14,24,58.3,1,0,0,6,11,6,0,23,0.0,0,1,16,223,59,0.0,0,0,1,0
2022-08-31,Matchweek 5,Home,D 0–0,Bournemouth,Wolves,N,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,1,2,50.0,1,0,0,2,1,1,0,4,0.0,0,0,1,24,11,0.0,0,1,0,0
2022-09-03,Matchweek 6,Away,W 3–2,Bournemouth,Nott'ham Forest,N,6,1,0,0,0,1,1,0,0,5,1,0,1,0.3,0.3,0.1,2,0,1,1,100.0,1,1,0,2,3,2,1,5,100.0,0,0,2,15,13,0.0,1,0,1,0
2022-09-17,Matchweek 8,Away,D 1–1,Bournemouth,Newcastle Utd,N,11,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,1,2,0,3,,0,0,2,10,0,0.0,0,0,0,0
2022-10-01,Matchweek 9,Home,D 0–0,Bournemouth,Brentford,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-08,Matchweek 10,Home,W 2–1,Bournemouth,Leicester City,N,14,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,1,0,0,1,6,1,7,33.3,0,1,6,15,2,0.0,0,0,0,0
2022-10-15,Matchweek 11,Away,D 2–2,Bournemouth,Fulham,N,16,0,0,0,0,1,1,0,0,11,0,0,0,0.0,0.0,0.0,0,0,2,8,25.0,0,0,1,2,2,7,0,11,,0,1,6,23,0,0.0,0,0,0,0
2022-10-19,Matchweek 12,Home,L 0–1,Bournemouth,Southampton,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-24,Matchweek 13,Away,L 0–2,Bournemouth,West Ham,N,34,0,0,0,0,1,1,0,0,27,2,0,0,0.0,0.0,0.0,0,0,18,22,81.8,3,0,0,0,18,9,1,27,0.0,0,2,18,265,53,0.0,0,1,1,0
2022-10-29,Matchweek 14,Home,L 2–3,Bournemouth,Tottenham,N,28,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0,1,3,1,1,5,0.0,0,0,4,14,2,0.0,0,0,0,0
2022-11-05,Matchweek 15,Away,L 3–4,Bournemouth,Leeds United,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-12,Matchweek 16,Home,W 3–0,Bournemouth,Everton,N,23,1,0,0,0,1,1,0,0,11,0,0,0,0.4,0.4,0.0,1,1,5,8,62.5,1,0,2,4,2,5,1,11,,0,0,7,81,22,0.0,0,0,1,0
2022-12-27,Matchweek 17,Away,L 0–2,Bournemouth,Chelsea,N,45,0,0,0,0,2,2,0,0,37,2,0,1,0.1,0.1,0.2,5,0,22,26,84.6,1,0,1,3,7,27,1,37,,5,0,24,271,91,0.1,3,1,2,1
2022-12-31,Matchweek 18,Home,L 0–2,Bournemouth,Crystal Palace,Y,79,0,0,0,0,0,0,1,0,69,5,0,2,0.0,0.0,0.0,2,0,39,54,72.2,2,3,2,13,27,29,2,69,50.0,2,0,37,625,163,0.1,1,1,2,2
2023-01-03,Matchweek 19,Away,L 0–3,Bournemouth,Manchester Utd,Y,90,0,0,0,0,3,2,0,0,51,1,3,3,0.2,0.2,0.0,3,0,30,43,69.8,3,0,2,13,18,21,3,51,,1,0,31,362,81,0.0,0,2,0,0
2023-01-14,Matchweek 20,Away,L 0–2,Bournemouth,Brentford,Y,65,0,0,0,0,0,0,0,0,48,5,0,0,0.0,0.0,0.0,1,0,25,37,67.6,4,1,1,7,15,27,2,48,50.0,3,2,31,417,141,0.0,0,1,2,0
2023-01-21,Matchweek 21,Home,D 1–1,Bournemouth,Nott'ham Forest,Y,90,1,0,0,0,3,1,0,0,52,1,0,3,0.2,0.2,0.1,6,0,28,38,73.7,3,1,2,10,18,24,4,52,25.0,0,2,36,408,142,0.2,1,1,2,1
