Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Tkld,Tkld%,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,PrgR,xA,KP,PPA,CrsPA
2022-08-05,Matchweek 1,Home,L 0–2,Crystal Palace,Arsenal,Y,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,32.0,34.0,94.1,6.0,25.0,2.0,0.0,0.0,12.0,23.0,5.0,0.0,39.0,,0.0,,100.0,53.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
2022-08-15,Matchweek 2,Away,D 1–1,Crystal Palace,Liverpool,Y,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,0.0,3.0,2.0,0.0,0.0,0.5,2.0,0.0,25.0,29.0,86.2,5.0,13.0,0.0,0.0,0.0,18.0,15.0,6.0,1.0,39.0,,0.0,,96.0,28.0,0.0,0.0,1.0,1.0,22.0,0.0,0.3,2.0,1.0,0.0
2022-08-20,Matchweek 3,Home,W 3–1,Crystal Palace,Aston Villa,Y,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,51.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,36.0,42.0,85.7,5.0,29.0,1.0,0.0,3.0,12.0,31.0,8.0,0.0,51.0,0.0,1.0,100.0,140.0,87.0,2.0,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0
2022-08-27,Matchweek 4,Away,L 2–4,Crystal Palace,Manchester City,Y,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,20.0,90.0,1.0,13.0,0.0,0.0,2.0,15.0,11.0,3.0,0.0,29.0,,0.0,,79.0,28.0,0.0,0.0,2.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0
2022-08-30,Matchweek 5,Home,D 1–1,Crystal Palace,Brentford,Y,90.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0,6.0,2.0,0.0,0.0,0.0,0.1,3.0,1.0,58.0,68.0,85.3,7.0,38.0,3.0,0.0,5.0,21.0,51.0,13.0,0.0,84.0,,0.0,,251.0,154.0,2.0,0.0,0.0,0.0,58.0,2.0,0.0,2.0,0.0,0.0
2022-09-03,Matchweek 6,Away,D 0–0,Crystal Palace,Newcastle Utd,Y,90.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,64.0,5.0,3.0,5.0,0.1,0.1,0.2,5.0,0.0,35.0,44.0,79.5,3.0,28.0,0.0,1.0,8.0,20.0,35.0,9.0,2.0,64.0,50.0,1.0,50.0,172.0,67.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,2.0,0.0,0.0
2022-10-01,Matchweek 9,Home,L 1–2,Crystal Palace,Chelsea,Y,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,21.0,90.5,0.0,17.0,0.0,0.0,2.0,12.0,14.0,2.0,0.0,28.0,,0.0,,43.0,14.0,0.0,0.0,2.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0
2022-10-09,Matchweek 10,Home,W 2–1,Crystal Palace,Leeds United,Y,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,2.0,3.0,1.0,0.0,0.0,0.1,3.0,0.0,29.0,37.0,78.4,3.0,21.0,1.0,0.0,2.0,17.0,26.0,7.0,0.0,49.0,,0.0,,125.0,51.0,1.0,0.0,2.0,3.0,21.0,0.0,0.0,1.0,0.0,0.0
2022-10-15,Matchweek 11,Away,D 0–0,Crystal Palace,Leicester City,Y,55.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,39.0,1.0,1.0,1.0,0.0,0.0,0.1,1.0,0.0,27.0,34.0,79.4,1.0,21.0,1.0,0.0,0.0,13.0,20.0,6.0,0.0,39.0,,0.0,,104.0,62.0,1.0,0.0,0.0,2.0,25.0,2.0,0.0,1.0,1.0,0.0
2022-10-18,Matchweek 12,Home,W 2–1,Crystal Palace,Wolves,Y,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,66.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,44.0,50.0,88.0,4.0,29.0,0.0,0.0,2.0,15.0,42.0,9.0,0.0,66.0,,0.0,,135.0,59.0,3.0,0.0,1.0,2.0,36.0,1.0,0.0,0.0,0.0,0.0
