Date,Round,Venue,Result,Squad,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ%,Mis,Dis,Rec
2022-08-06,Matchweek 1,Home,W 2–0,Newcastle Utd,Nott'ham Forest,Y*,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,99.0,1.0,4.0,2.0,0.0,0.0,0.1,5.0,1.0,63.0,89.0,70.8,8.0,0.0,3.0,17.0,41.0,41.0,1.0,99.0,,2.0,0.0,54.0
2022-08-13,Matchweek 2,Away,D 0–0,Newcastle Utd,Brighton,Y*,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,2.0,2.0,1.0,0.0,0.0,0.1,1.0,0.0,35.0,54.0,64.8,3.0,0.0,5.0,24.0,25.0,13.0,0.0,62.0,,0.0,1.0,26.0
2022-08-21,Matchweek 3,Home,D 3–3,Newcastle Utd,Manchester City,Y*,90.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,44.0,0.0,1.0,3.0,0.1,0.1,0.0,2.0,0.0,23.0,35.0,65.7,3.0,0.0,6.0,15.0,12.0,18.0,0.0,44.0,,0.0,0.0,15.0
2022-08-28,Matchweek 4,Away,D 1–1,Newcastle Utd,Wolves,Y*,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,2.0,0.0,0.0,0.0,0.0,0.1,5.0,0.0,43.0,67.0,64.2,4.0,1.0,4.0,18.0,27.0,28.0,0.0,73.0,33.3,0.0,0.0,36.0
2022-08-31,Matchweek 5,Away,L 1–2,Newcastle Utd,Liverpool,Y,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,46.0,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,26.0,35.0,74.3,2.0,1.0,8.0,23.0,15.0,8.0,0.0,46.0,100.0,0.0,0.0,19.0
2022-09-03,Matchweek 6,Home,D 0–0,Newcastle Utd,Crystal Palace,Y*,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65.0,2.0,3.0,1.0,0.1,0.1,0.5,7.0,0.0,38.0,55.0,69.1,3.0,0.0,3.0,12.0,32.0,23.0,0.0,65.0,,0.0,0.0,23.0
2022-09-17,Matchweek 8,Home,D 1–1,Newcastle Utd,Bournemouth,Y*,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,118.0,0.0,0.0,2.0,0.1,0.1,0.1,4.0,0.0,85.0,112.0,75.9,8.0,0.0,2.0,16.0,46.0,56.0,4.0,118.0,0.0,1.0,0.0,87.0
2022-10-01,Matchweek 9,Away,W 4–1,Newcastle Utd,Fulham,Y*,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,2.0,1.0,1.0,0.0,0.0,0.3,6.0,0.0,68.0,86.0,79.1,5.0,0.0,1.0,24.0,42.0,29.0,0.0,95.0,,1.0,0.0,52.0
2022-10-08,Matchweek 10,Home,W 5–1,Newcastle Utd,Brentford,Y*,83.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,2.0,0.0,0.0,0.0,0.3,5.0,1.0,54.0,68.0,79.4,4.0,0.0,0.0,13.0,35.0,25.0,1.0,72.0,,1.0,1.0,41.0
2022-10-16,Matchweek 11,Away,D 0–0,Newcastle Utd,Manchester Utd,Y*,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,1.0,3.0,0.0,0.1,0.1,0.3,5.0,0.0,40.0,60.0,66.7,5.0,0.0,3.0,22.0,32.0,14.0,0.0,68.0,,2.0,0.0,31.0
